neighbourhood_cleansed,room_type,count,id
Bayview,Entire home/apt,80,1
Bayview,Private room,145,2
Bayview,Shared room,2,3
Bernal Heights,Entire home/apt,266,4
Bernal Heights,Private room,135,5
Bernal Heights,Shared room,1,6
Castro/Upper Market,Entire home/apt,297,7
Castro/Upper Market,Private room,147,8
Castro/Upper Market,Shared room,2,9
Chinatown,Entire home/apt,100,10
Chinatown,Private room,44,11
Chinatown,Shared room,9,12
Crocker Amazon,Entire home/apt,22,13
Crocker Amazon,Private room,28,14
Crocker Amazon,Shared room,1,15
Diamond Heights,Entire home/apt,8,16
Diamond Heights,Private room,8,17
Downtown/Civic Center,Entire home/apt,346,18
Downtown/Civic Center,Private room,361,19
Downtown/Civic Center,Shared room,30,20
Excelsior,Entire home/apt,79,21
Excelsior,Private room,100,22
Excelsior,Shared room,1,23
Financial District,Entire home/apt,158,24
Financial District,Private room,49,25
Financial District,Shared room,15,26
Glen Park,Entire home/apt,50,27
Glen Park,Private room,12,28
Golden Gate Park,Entire home/apt,4,29
Golden Gate Park,Private room,2,30
Haight Ashbury,Entire home/apt,226,31
Haight Ashbury,Private room,129,32
Haight Ashbury,Shared room,53,33
Inner Richmond,Entire home/apt,134,34
Inner Richmond,Private room,82,35
Inner Richmond,Shared room,25,36
Inner Sunset,Entire home/apt,112,37
Inner Sunset,Private room,51,38
Inner Sunset,Shared room,4,39
Lakeshore,Entire home/apt,25,40
Lakeshore,Private room,37,41
Lakeshore,Shared room,1,42
Marina,Entire home/apt,141,43
Marina,Private room,44,44
Mission,Entire home/apt,454,45
Mission,Private room,276,46
Mission,Shared room,23,47
Nob Hill,Entire home/apt,192,48
Nob Hill,Private room,143,49
Nob Hill,Shared room,18,50
Noe Valley,Entire home/apt,216,51
Noe Valley,Private room,101,52
Noe Valley,Shared room,1,53
North Beach,Entire home/apt,120,54
North Beach,Private room,68,55
North Beach,Shared room,37,56
Ocean View,Entire home/apt,54,57
Ocean View,Private room,74,58
Ocean View,Shared room,8,59
Outer Mission,Entire home/apt,76,60
Outer Mission,Private room,93,61
Outer Mission,Shared room,4,62
Outer Richmond,Entire home/apt,104,63
Outer Richmond,Private room,66,64
Outer Richmond,Shared room,2,65
Outer Sunset,Entire home/apt,157,66
Outer Sunset,Private room,157,67
Outer Sunset,Shared room,6,68
Pacific Heights,Entire home/apt,129,69
Pacific Heights,Private room,44,70
Parkside,Entire home/apt,79,71
Parkside,Private room,59,72
Parkside,Shared room,6,73
Potrero Hill,Entire home/apt,168,74
Potrero Hill,Private room,82,75
Potrero Hill,Shared room,2,76
Presidio,Private room,1,77
Presidio Heights,Entire home/apt,21,78
Presidio Heights,Private room,3,79
Russian Hill,Entire home/apt,155,80
Russian Hill,Private room,47,81
Russian Hill,Shared room,7,82
Seacliff,Entire home/apt,12,83
Seacliff,Private room,8,84
South of Market,Entire home/apt,532,85
South of Market,Private room,157,86
South of Market,Shared room,29,87
Treasure Island/YBI,Entire home/apt,1,88
Twin Peaks,Entire home/apt,48,89
Twin Peaks,Private room,25,90
Visitacion Valley,Entire home/apt,42,91
Visitacion Valley,Private room,28,92
West of Twin Peaks,Entire home/apt,73,93
West of Twin Peaks,Private room,73,94
Western Addition,Entire home/apt,384,95
Western Addition,Private room,215,96
Western Addition,Shared room,26,97
